train_condition,run_id,test_set,test_accuracy,test_accuracy_percent,correct_predictions,wrong_predictions,total_samples,box_accuracy_percent,cylinder_accuracy_percent,sphere_accuracy_percent,confusion_matrix_path,prediction_path
clean_trained_xyz,1,ycb28,0.8089285714285714,80.89285714285714,453,107,560,88.88888888888889,58.12500000000001,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_1_ycb28_predictions.csv
clean_trained_xyz,2,ycb28,0.8357142857142857,83.57142857142857,468,92,560,83.33333333333334,73.75,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_2_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_2_ycb28_predictions.csv
clean_trained_xyz,3,ycb28,0.8232142857142857,82.32142857142857,461,99,560,84.44444444444444,68.125,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_3_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_3_ycb28_predictions.csv
clean_trained_xyz,4,ycb28,0.8071428571428572,80.71428571428572,452,108,560,91.11111111111111,55.00000000000001,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_4_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_4_ycb28_predictions.csv
clean_trained_xyz,5,ycb28,0.8517857142857143,85.17857142857143,477,83,560,91.11111111111111,70.625,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_5_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_5_ycb28_predictions.csv
clean_trained_xyz,6,ycb28,0.8607142857142858,86.07142857142858,482,78,560,86.66666666666667,78.75,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_6_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_6_ycb28_predictions.csv
clean_trained_xyz,7,ycb28,0.8446428571428571,84.46428571428571,473,87,560,85.55555555555556,74.375,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_7_ycb28_predictions.csv
clean_trained_xyz,8,ycb28,0.8160714285714286,81.60714285714286,457,103,560,88.33333333333333,61.25000000000001,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_8_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_8_ycb28_predictions.csv
clean_trained_xyz,9,ycb28,0.8267857142857142,82.67857142857142,463,97,560,92.22222222222223,61.25000000000001,90.45454545454545,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/clean_trained_xyz_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/clean_trained_xyz_run_9_ycb28_predictions.csv
error_trained_xyz,1,ycb28,0.8660714285714286,86.60714285714286,485,75,560,90.0,76.875,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_1_ycb28_predictions.csv
error_trained_xyz,2,ycb28,0.9,90.0,504,56,560,92.77777777777779,85.625,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_2_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_2_ycb28_predictions.csv
error_trained_xyz,3,ycb28,0.8660714285714286,86.60714285714286,485,75,560,84.44444444444444,83.125,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_3_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_3_ycb28_predictions.csv
error_trained_xyz,4,ycb28,0.8464285714285714,84.64285714285714,474,86,560,81.66666666666667,79.375,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_4_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_4_ycb28_predictions.csv
error_trained_xyz,5,ycb28,0.9035714285714286,90.35714285714286,506,54,560,97.22222222222221,81.875,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_5_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_5_ycb28_predictions.csv
error_trained_xyz,6,ycb28,0.8714285714285714,87.14285714285714,488,72,560,83.88888888888889,85.625,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_6_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_6_ycb28_predictions.csv
error_trained_xyz,7,ycb28,0.8571428571428571,85.71428571428571,480,80,560,88.88888888888889,75.0,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_7_ycb28_predictions.csv
