train_condition,class_name,object_name,accuracy_percent,total_samples,mean_confidence
clean_trained_xyz,sphere,063_a_marbles,0.0,60,0.9184
clean_trained_xyz,cylinder,065_a_cups,3.3333,60,0.8296
clean_trained_xyz,box,026_sponge,11.6667,60,0.8688
clean_trained_xyz,cylinder,025_mug,26.6667,60,0.768
clean_trained_xyz,cylinder,040_large_marker,40.0,60,0.6812
clean_trained_xyz,cylinder,005_tomato_soup_can,80.0,60,0.8236
clean_trained_xyz,cylinder,019_pitcher_base,81.6667,60,0.8243
clean_trained_xyz,box,008_pudding_box,85.0,60,0.8314
clean_trained_xyz,box,003_cracker_box,91.6667,60,0.8681
clean_trained_xyz,box,004_sugar_box,96.6667,60,0.8964
clean_trained_xyz,box,009_gelatin_box,96.6667,60,0.85
clean_trained_xyz,box,010_potted_meat_can,96.6667,60,0.8533
clean_trained_xyz,box,036_wood_block,100.0,60,0.9593
clean_trained_xyz,box,061_foam_brick,100.0,60,0.9593
clean_trained_xyz,box,077_rubiks_cube,100.0,60,0.9299
clean_trained_xyz,cylinder,001_chips_can,100.0,60,0.9771
clean_trained_xyz,cylinder,002_master_chef_can,100.0,60,0.934
clean_trained_xyz,cylinder,007_tuna_fish_can,100.0,60,0.936
clean_trained_xyz,sphere,012_strawberry,100.0,60,0.8795
clean_trained_xyz,sphere,014_lemon,100.0,60,0.9569
clean_trained_xyz,sphere,015_peach,100.0,60,0.9627
clean_trained_xyz,sphere,017_orange,100.0,60,0.9694
clean_trained_xyz,sphere,018_plum,100.0,60,0.9627
clean_trained_xyz,sphere,054_softball,100.0,60,0.9713
clean_trained_xyz,sphere,055_baseball,100.0,60,0.9702
clean_trained_xyz,sphere,056_tennis_ball,100.0,60,0.9711
clean_trained_xyz,sphere,057_racquetball,100.0,60,0.9724
clean_trained_xyz,sphere,058_golf_ball,100.0,60,0.9709
error_trained_xyz,sphere,063_a_marbles,0.0,60,0.7775
error_trained_xyz,cylinder,040_large_marker,30.0,60,0.6835
error_trained_xyz,box,026_sponge,33.3333,60,0.7919
error_trained_xyz,cylinder,005_tomato_soup_can,71.6667,60,0.7768
error_trained_xyz,cylinder,065_a_cups,75.0,60,0.7876
error_trained_xyz,box,008_pudding_box,83.3333,60,0.8233
error_trained_xyz,cylinder,025_mug,85.0,60,0.841
error_trained_xyz,box,009_gelatin_box,90.0,60,0.8068
error_trained_xyz,box,004_sugar_box,93.3333,60,0.8759
error_trained_xyz,box,010_potted_meat_can,96.6667,60,0.8527
error_trained_xyz,cylinder,002_master_chef_can,96.6667,60,0.8657
error_trained_xyz,cylinder,019_pitcher_base,96.6667,60,0.9416
error_trained_xyz,box,003_cracker_box,98.3333,60,0.8746
error_trained_xyz,box,061_foam_brick,98.3333,60,0.9526
error_trained_xyz,box,077_rubiks_cube,98.3333,60,0.8748
error_trained_xyz,box,036_wood_block,100.0,60,0.9562
error_trained_xyz,cylinder,001_chips_can,100.0,60,0.9783
error_trained_xyz,cylinder,007_tuna_fish_can,100.0,60,0.9415
error_trained_xyz,sphere,012_strawberry,100.0,60,0.9509
error_trained_xyz,sphere,014_lemon,100.0,60,0.9699
error_trained_xyz,sphere,015_peach,100.0,60,0.9703
error_trained_xyz,sphere,017_orange,100.0,60,0.9744
error_trained_xyz,sphere,018_plum,100.0,60,0.9704
error_trained_xyz,sphere,054_softball,100.0,60,0.9765
error_trained_xyz,sphere,055_baseball,100.0,60,0.9766
error_trained_xyz,sphere,056_tennis_ball,100.0,60,0.9767
error_trained_xyz,sphere,057_racquetball,100.0,60,0.9774
error_trained_xyz,sphere,058_golf_ball,100.0,60,0.9767
mixed_trained_xyz,sphere,063_a_marbles,0.0,60,0.7665
mixed_trained_xyz,cylinder,040_large_marker,18.3333,60,0.6977
mixed_trained_xyz,box,026_sponge,48.3333,60,0.7401
mixed_trained_xyz,cylinder,065_a_cups,78.3333,60,0.8509
mixed_trained_xyz,cylinder,005_tomato_soup_can,90.0,60,0.8287
mixed_trained_xyz,cylinder,025_mug,90.0,60,0.8627
mixed_trained_xyz,box,008_pudding_box,95.0,60,0.8631
mixed_trained_xyz,box,009_gelatin_box,95.0,60,0.8684
mixed_trained_xyz,box,010_potted_meat_can,95.0,60,0.8869
mixed_trained_xyz,box,003_cracker_box,98.3333,60,0.9172
mixed_trained_xyz,cylinder,007_tuna_fish_can,98.3333,60,0.9295
mixed_trained_xyz,cylinder,019_pitcher_base,98.3333,60,0.9483
mixed_trained_xyz,box,004_sugar_box,100.0,60,0.9195
mixed_trained_xyz,box,036_wood_block,100.0,60,0.9639
mixed_trained_xyz,box,061_foam_brick,100.0,60,0.96
mixed_trained_xyz,box,077_rubiks_cube,100.0,60,0.9106
mixed_trained_xyz,cylinder,001_chips_can,100.0,60,0.9723
mixed_trained_xyz,cylinder,002_master_chef_can,100.0,60,0.9284
mixed_trained_xyz,sphere,012_strawberry,100.0,60,0.9522
mixed_trained_xyz,sphere,014_lemon,100.0,60,0.97
mixed_trained_xyz,sphere,015_peach,100.0,60,0.9679
mixed_trained_xyz,sphere,017_orange,100.0,60,0.9701
mixed_trained_xyz,sphere,018_plum,100.0,60,0.9684
mixed_trained_xyz,sphere,054_softball,100.0,60,0.9709
mixed_trained_xyz,sphere,055_baseball,100.0,60,0.9711
mixed_trained_xyz,sphere,056_tennis_ball,100.0,60,0.971
mixed_trained_xyz,sphere,057_racquetball,100.0,60,0.9699
mixed_trained_xyz,sphere,058_golf_ball,100.0,60,0.971
