train_condition,run_id,test_set,test_accuracy,test_accuracy_percent,correct_predictions,wrong_predictions,total_samples,box_accuracy_percent,cylinder_accuracy_percent,sphere_accuracy_percent,confusion_matrix_path,prediction_path
clean_trained,1,ycb28,0.6553571428571429,65.53571428571429,367,193,560,28.333333333333332,86.875,80.45454545454545,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_1_ycb28_predictions.csv
clean_trained,2,ycb28,0.6285714285714286,62.857142857142854,352,208,560,20.0,87.5,80.0,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_2_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_2_ycb28_predictions.csv
clean_trained,3,ycb28,0.6428571428571429,64.28571428571429,360,200,560,29.444444444444446,66.875,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_3_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_3_ycb28_predictions.csv
clean_trained,4,ycb28,0.6535714285714286,65.35714285714286,366,194,560,95.0,9.375,81.81818181818183,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_4_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_4_ycb28_predictions.csv
clean_trained,5,ycb28,0.75,75.0,420,140,560,73.33333333333333,75.0,76.36363636363637,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_5_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_5_ycb28_predictions.csv
clean_trained,6,ycb28,0.6410714285714286,64.10714285714286,359,201,560,48.888888888888886,56.875,81.81818181818183,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_6_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_6_ycb28_predictions.csv
clean_trained,7,ycb28,0.6196428571428572,61.964285714285715,347,213,560,90.55555555555556,21.25,68.18181818181817,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_7_ycb28_predictions.csv
clean_trained,8,ycb28,0.6446428571428572,64.46428571428572,361,199,560,40.0,88.125,67.27272727272727,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_8_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_8_ycb28_predictions.csv
clean_trained,9,ycb28,0.7089285714285715,70.89285714285715,397,163,560,73.33333333333333,56.25,79.54545454545455,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/clean_trained_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/clean_trained_run_9_ycb28_predictions.csv
error_trained,1,ycb28,0.7142857142857143,71.42857142857143,400,160,560,79.44444444444444,57.49999999999999,75.0,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/error_trained_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/error_trained_run_1_ycb28_predictions.csv
