train_condition,modelnet_class,true_primitive,n_predictions,accuracy_percent,mean_confidence
clean_trained_xyz,bowl,sphere,180,0.0,0.9408064016037517
clean_trained_xyz,cup,cylinder,180,35.55555555555556,0.9200783948103587
clean_trained_xyz,flower_pot,cylinder,180,50.0,0.9066111849413978
clean_trained_xyz,vase,cylinder,900,53.55555555555556,0.8932619269357788
clean_trained_xyz,bottle,cylinder,900,59.111111111111114,0.843602465391159
clean_trained_xyz,night_stand,box,774,92.76485788113695,0.9513493842548795
clean_trained_xyz,wardrobe,box,180,97.77777777777777,0.9516002853711446
clean_trained_xyz,glass_box,box,900,98.77777777777777,0.9606164211697049
clean_trained_xyz,xbox,box,180,100.0,0.9553280926413006
error_trained_xyz,bowl,sphere,180,0.0,0.911260753373305
error_trained_xyz,bottle,cylinder,900,52.666666666666664,0.7901065198249287
error_trained_xyz,cup,cylinder,180,66.11111111111111,0.8624097862177424
error_trained_xyz,vase,cylinder,900,69.44444444444444,0.870671045978864
error_trained_xyz,flower_pot,cylinder,180,71.11111111111111,0.8915831300947401
error_trained_xyz,night_stand,box,774,81.91214470284238,0.9083324372383359
error_trained_xyz,wardrobe,box,180,88.88888888888889,0.8949885681271553
error_trained_xyz,xbox,box,180,93.88888888888889,0.894826254910893
error_trained_xyz,glass_box,box,900,96.11111111111111,0.9397583029005263
mixed_trained_xyz,bowl,sphere,180,0.0,0.9279640330208673
mixed_trained_xyz,cup,cylinder,180,60.0,0.8676860852373971
mixed_trained_xyz,flower_pot,cylinder,180,66.66666666666666,0.8868904534313414
mixed_trained_xyz,vase,cylinder,900,74.11111111111111,0.8859803035193019
mixed_trained_xyz,bottle,cylinder,900,75.1111111111111,0.8169877293043667
mixed_trained_xyz,night_stand,box,774,89.66408268733849,0.9294915500768396
mixed_trained_xyz,wardrobe,box,180,94.44444444444444,0.9176284015178681
mixed_trained_xyz,glass_box,box,900,97.77777777777777,0.9504350639051862
mixed_trained_xyz,xbox,box,180,97.77777777777777,0.9295583516359329
