object_name,true_primitive,n_checkpoints,samples_per_checkpoint,mean_accuracy_percent,std_accuracy_percent,min_accuracy_percent,median_accuracy_percent,max_accuracy_percent,mean_confidence
015_peach,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,0.9999984252452851
054_softball,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,1.0
018_plum,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,0.9999999970197677
017_orange,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,1.0
055_baseball,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,0.9999999994039536
056_tennis_ball,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,1.0
057_racquetball,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,0.9999999994039536
058_golf_ball,sphere,10,20.0,100.0,0.0,100.0,100.0,100.0,1.0
014_lemon,sphere,10,20.0,98.5,3.3747427885527643,90.0,100.0,100.0,0.9986184924840927
036_wood_block,box,10,20.0,98.0,4.216370213557839,90.0,100.0,100.0,0.7205005586147308
004_sugar_box,box,10,20.0,97.5,4.85912657903775,85.0,100.0,100.0,0.7322674655914307
009_gelatin_box,box,10,20.0,97.5,2.6352313834736476,95.0,97.5,100.0,0.7153887754678727
026_sponge,box,10,20.0,96.0,5.676462121975467,85.0,100.0,100.0,0.7343567642569542
003_cracker_box,box,10,20.0,94.5,5.986094998689325,80.0,95.0,100.0,0.7117958897352219
008_pudding_box,box,10,20.0,92.0,7.888106377466154,80.0,92.5,100.0,0.6877776363492012
012_strawberry,sphere,10,20.0,92.0,5.868938953886335,80.0,95.0,100.0,0.9923681542277336
010_potted_meat_can,box,10,20.0,79.5,8.3166499665831,60.0,80.0,90.0,0.6488111999630928
061_foam_brick,box,10,20.0,72.0,16.53279569018299,45.0,75.0,90.0,0.6255461990833282
007_tuna_fish_can,cylinder,10,20.0,56.5,17.167475709090787,20.0,57.5,85.0,0.625472159087658
002_master_chef_can,cylinder,10,20.0,51.0,14.102797200870786,30.0,50.0,75.0,0.6208612832427025
025_mug,cylinder,10,20.0,47.5,17.19980620045858,20.0,45.0,70.0,0.6306544986367226
077_rubiks_cube,box,10,20.0,37.5,17.834112132527245,15.0,35.0,70.0,0.634871923327446
005_tomato_soup_can,cylinder,10,20.0,28.0,11.105554165971787,10.0,30.0,50.0,0.6175060391426086
065_a_cups,cylinder,10,20.0,23.0,15.311578770474469,5.0,20.0,60.0,0.6410012257099151
019_pitcher_base,cylinder,10,20.0,13.5,8.834905520465714,5.0,10.0,35.0,0.6695117965340615
001_chips_can,cylinder,10,20.0,12.0,7.888106377466155,0.0,10.0,25.0,0.696653609573841
040_large_marker,cylinder,10,20.0,7.0,8.881941729649485,0.0,5.0,25.0,0.7561098659038544
063_a_marbles,sphere,10,20.0,0.0,0.0,0.0,0.0,0.0,0.6467061069607735
