train_condition,run_id,object_name,true_class_std,object_accuracy_percent,n_samples
clean_trained_xyz,1,001_chips_can,cylinder,100.0,20
clean_trained_xyz,1,002_master_chef_can,cylinder,100.0,20
clean_trained_xyz,1,003_cracker_box,box,100.0,20
clean_trained_xyz,1,004_sugar_box,box,100.0,20
clean_trained_xyz,1,005_tomato_soup_can,cylinder,75.0,20
clean_trained_xyz,1,007_tuna_fish_can,cylinder,100.0,20
clean_trained_xyz,1,008_pudding_box,box,100.0,20
clean_trained_xyz,1,009_gelatin_box,box,100.0,20
clean_trained_xyz,1,010_potted_meat_can,box,100.0,20
clean_trained_xyz,1,012_strawberry,sphere,100.0,20
clean_trained_xyz,1,014_lemon,sphere,100.0,20
clean_trained_xyz,1,015_peach,sphere,100.0,20
clean_trained_xyz,1,017_orange,sphere,100.0,20
clean_trained_xyz,1,018_plum,sphere,100.0,20
clean_trained_xyz,1,019_pitcher_base,cylinder,60.0,20
clean_trained_xyz,1,025_mug,cylinder,5.0,20
clean_trained_xyz,1,026_sponge,box,0.0,20
clean_trained_xyz,1,036_wood_block,box,100.0,20
clean_trained_xyz,1,040_large_marker,cylinder,25.0,20
clean_trained_xyz,1,054_softball,sphere,100.0,20
clean_trained_xyz,1,055_baseball,sphere,100.0,20
clean_trained_xyz,1,056_tennis_ball,sphere,100.0,20
clean_trained_xyz,1,057_racquetball,sphere,100.0,20
clean_trained_xyz,1,058_golf_ball,sphere,100.0,20
clean_trained_xyz,1,061_foam_brick,box,100.0,20
clean_trained_xyz,1,063_a_marbles,sphere,0.0,20
clean_trained_xyz,1,065_a_cups,cylinder,0.0,20
clean_trained_xyz,1,077_rubiks_cube,box,100.0,20
clean_trained_xyz,2,001_chips_can,cylinder,100.0,20
clean_trained_xyz,2,002_master_chef_can,cylinder,100.0,20
clean_trained_xyz,2,003_cracker_box,box,95.0,20
clean_trained_xyz,2,004_sugar_box,box,100.0,20
clean_trained_xyz,2,005_tomato_soup_can,cylinder,100.0,20
clean_trained_xyz,2,007_tuna_fish_can,cylinder,100.0,20
clean_trained_xyz,2,008_pudding_box,box,85.0,20
clean_trained_xyz,2,009_gelatin_box,box,90.0,20
clean_trained_xyz,2,010_potted_meat_can,box,80.0,20
clean_trained_xyz,2,012_strawberry,sphere,100.0,20
clean_trained_xyz,2,014_lemon,sphere,100.0,20
clean_trained_xyz,2,015_peach,sphere,100.0,20
clean_trained_xyz,2,017_orange,sphere,100.0,20
