train_condition,object_name,true_class_std,mean_object_accuracy_percent,std_object_accuracy_percent,min_object_accuracy_percent,median_object_accuracy_percent,max_object_accuracy_percent,mean_n_samples
clean_trained_xyz,063_a_marbles,sphere,0.0,0.0,0.0,0.0,0.0,20.0
error_trained_xyz,063_a_marbles,sphere,0.0,0.0,0.0,0.0,0.0,20.0
mixed_trained_xyz,063_a_marbles,sphere,0.0,0.0,0.0,0.0,0.0,20.0
clean_trained_xyz,065_a_cups,cylinder,7.777777777777778,11.486707293408518,0.0,5.0,35.0,20.0
error_trained_xyz,040_large_marker,cylinder,10.0,15.612494995995995,0.0,0.0,40.0,20.0
clean_trained_xyz,040_large_marker,cylinder,20.0,20.0,0.0,25.0,60.0,20.0
clean_trained_xyz,026_sponge,box,22.22222222222222,17.159383568311668,0.0,20.0,55.00000000000001,20.0
error_trained_xyz,026_sponge,box,28.333333333333332,30.4138126514911,0.0,15.0,85.0,20.0
mixed_trained_xyz,040_large_marker,cylinder,32.22222222222222,28.074800879871695,0.0,30.0,70.0,20.0
mixed_trained_xyz,026_sponge,box,35.0,32.21024681681281,5.0,20.0,85.0,20.0
clean_trained_xyz,025_mug,cylinder,37.77777777777778,28.406767581765518,5.0,35.0,75.0,20.0
error_trained_xyz,005_tomato_soup_can,cylinder,70.0,14.790199457749042,50.0,70.0,90.0,20.0
error_trained_xyz,065_a_cups,cylinder,80.0,12.24744871391589,60.0,80.0,100.0,20.0
clean_trained_xyz,019_pitcher_base,cylinder,82.22222222222223,12.52774698197742,60.0,85.0,100.0,20.0
error_trained_xyz,025_mug,cylinder,83.88888888888889,11.118053386771946,70.0,85.0,100.0,20.0
error_trained_xyz,008_pudding_box,box,84.44444444444444,11.843892002959914,65.0,85.0,100.0,20.0
mixed_trained_xyz,065_a_cups,cylinder,85.55555555555556,11.303883305208778,60.0,90.0,95.0,20.0
clean_trained_xyz,005_tomato_soup_can,cylinder,87.22222222222223,12.527746981977423,60.0,90.0,100.0,20.0
mixed_trained_xyz,009_gelatin_box,box,88.33333333333333,16.20185174601965,50.0,95.0,100.0,20.0
clean_trained_xyz,008_pudding_box,box,90.0,9.354143466934854,70.0,90.0,100.0,20.0
clean_trained_xyz,009_gelatin_box,box,90.55555555555556,10.137937550497034,70.0,90.0,100.0,20.0
mixed_trained_xyz,008_pudding_box,box,91.11111111111111,7.4068286810963215,80.0,90.0,100.0,20.0
mixed_trained_xyz,005_tomato_soup_can,cylinder,91.66666666666667,9.999999999999998,70.0,95.0,100.0,20.0
mixed_trained_xyz,025_mug,cylinder,91.66666666666667,9.013878188659975,70.0,95.0,100.0,20.0
error_trained_xyz,009_gelatin_box,box,92.22222222222223,5.651941652604391,85.0,90.0,100.0,20.0
clean_trained_xyz,010_potted_meat_can,box,92.77777777777777,12.275766552213529,65.0,100.0,100.0,20.0
mixed_trained_xyz,010_potted_meat_can,box,93.33333333333333,6.123724356957945,85.0,95.0,100.0,20.0
error_trained_xyz,010_potted_meat_can,box,93.33333333333333,8.291561975888499,75.0,95.0,100.0,20.0
error_trained_xyz,003_cracker_box,box,93.88888888888889,5.464532103585001,85.0,95.0,100.0,20.0
error_trained_xyz,002_master_chef_can,cylinder,94.44444444444444,6.346477588219923,80.0,95.0,100.0,20.0
mixed_trained_xyz,004_sugar_box,box,96.11111111111111,6.508541396588879,85.0,100.0,100.0,20.0
mixed_trained_xyz,003_cracker_box,box,96.66666666666667,7.0710678118654755,80.0,100.0,100.0,20.0
clean_trained_xyz,003_cracker_box,box,97.22222222222223,3.632415786283894,90.0,100.0,100.0,20.0
error_trained_xyz,004_sugar_box,box,97.22222222222223,4.409585518440983,90.0,100.0,100.0,20.0
error_trained_xyz,019_pitcher_base,cylinder,97.77777777777777,2.6352313834736494,95.0,100.0,100.0,20.0
mixed_trained_xyz,077_rubiks_cube,box,97.77777777777777,3.6324157862838953,90.0,100.0,100.0,20.0
error_trained_xyz,077_rubiks_cube,box,97.77777777777777,3.6324157862838913,90.0,100.0,100.0,20.0
mixed_trained_xyz,019_pitcher_base,cylinder,98.88888888888889,3.3333333333333344,90.0,100.0,100.0,20.0
mixed_trained_xyz,002_master_chef_can,cylinder,98.88888888888889,3.3333333333333326,90.0,100.0,100.0,20.0
clean_trained_xyz,004_sugar_box,box,99.44444444444444,1.6666666666666676,95.0,100.0,100.0,20.0
clean_trained_xyz,002_master_chef_can,cylinder,99.44444444444444,1.666666666666666,95.0,100.0,100.0,20.0
clean_trained_xyz,012_strawberry,sphere,99.44444444444444,1.6666666666666663,95.0,100.0,100.0,20.0
clean_trained_xyz,077_rubiks_cube,box,99.44444444444444,1.6666666666666667,95.0,100.0,100.0,20.0
clean_trained_xyz,061_foam_brick,box,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,055_baseball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,056_tennis_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,036_wood_block,box,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,054_softball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,001_chips_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,036_wood_block,box,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,018_plum,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,017_orange,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,007_tuna_fish_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,012_strawberry,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,014_lemon,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,015_peach,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,015_peach,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,014_lemon,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,007_tuna_fish_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,001_chips_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,018_plum,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,017_orange,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,057_racquetball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
clean_trained_xyz,058_golf_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,007_tuna_fish_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,001_chips_can,cylinder,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,056_tennis_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,055_baseball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,058_golf_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,057_racquetball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,061_foam_brick,box,100.0,0.0,100.0,100.0,100.0,20.0
error_trained_xyz,054_softball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,017_orange,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,018_plum,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,036_wood_block,box,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,054_softball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,055_baseball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,014_lemon,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,015_peach,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,012_strawberry,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,058_golf_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,057_racquetball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,056_tennis_ball,sphere,100.0,0.0,100.0,100.0,100.0,20.0
mixed_trained_xyz,061_foam_brick,box,100.0,0.0,100.0,100.0,100.0,20.0
