train_condition,run_id,accuracy_percent,n_samples,condition_report,run_report
clean_trained_xyz,1,80.89285714285714,560,clean_trained_xyz,1
clean_trained_xyz,2,83.57142857142857,560,clean_trained_xyz,2
clean_trained_xyz,3,82.32142857142857,560,clean_trained_xyz,3
clean_trained_xyz,4,80.71428571428572,560,clean_trained_xyz,4
clean_trained_xyz,5,85.17857142857143,560,clean_trained_xyz,5
clean_trained_xyz,6,86.07142857142858,560,clean_trained_xyz,6
clean_trained_xyz,7,84.46428571428571,560,clean_trained_xyz,7
clean_trained_xyz,8,81.60714285714286,560,clean_trained_xyz,8
clean_trained_xyz,9,82.67857142857142,560,clean_trained_xyz,9
error_trained_xyz,1,86.60714285714286,560,error_trained_xyz,1
error_trained_xyz,2,90.0,560,error_trained_xyz,2
error_trained_xyz,3,86.60714285714286,560,error_trained_xyz,3
error_trained_xyz,4,84.64285714285714,560,error_trained_xyz,4
error_trained_xyz,5,90.35714285714286,560,error_trained_xyz,5
error_trained_xyz,6,87.14285714285714,560,error_trained_xyz,6
error_trained_xyz,7,85.71428571428571,560,error_trained_xyz,7
error_trained_xyz,8,83.03571428571429,560,error_trained_xyz,8
error_trained_xyz,9,84.82142857142857,560,error_trained_xyz,9
mixed_trained_xyz,1,91.25,560,mixed_trained_xyz,1
mixed_trained_xyz,2,90.53571428571429,560,mixed_trained_xyz,2
mixed_trained_xyz,3,87.67857142857143,560,mixed_trained_xyz,3
mixed_trained_xyz,4,85.71428571428571,560,mixed_trained_xyz,4
mixed_trained_xyz,5,90.71428571428571,560,mixed_trained_xyz,5
mixed_trained_xyz,6,90.35714285714286,560,mixed_trained_xyz,6
mixed_trained_xyz,7,90.0,560,mixed_trained_xyz,7
mixed_trained_xyz,8,87.14285714285714,560,mixed_trained_xyz,8
mixed_trained_xyz,9,89.28571428571429,560,mixed_trained_xyz,9
