train_condition,run_id,true_class_std,class_accuracy_percent,n_samples
clean_trained_xyz,1,box,88.88888888888889,180
clean_trained_xyz,1,cylinder,58.12500000000001,160
clean_trained_xyz,1,sphere,90.9090909090909,220
clean_trained_xyz,2,box,83.33333333333334,180
clean_trained_xyz,2,cylinder,73.75,160
clean_trained_xyz,2,sphere,90.9090909090909,220
clean_trained_xyz,3,box,84.44444444444444,180
clean_trained_xyz,3,cylinder,68.125,160
clean_trained_xyz,3,sphere,90.9090909090909,220
clean_trained_xyz,4,box,91.11111111111111,180
clean_trained_xyz,4,cylinder,55.00000000000001,160
clean_trained_xyz,4,sphere,90.9090909090909,220
clean_trained_xyz,5,box,91.11111111111111,180
clean_trained_xyz,5,cylinder,70.625,160
clean_trained_xyz,5,sphere,90.9090909090909,220
clean_trained_xyz,6,box,86.66666666666667,180
clean_trained_xyz,6,cylinder,78.75,160
clean_trained_xyz,6,sphere,90.9090909090909,220
clean_trained_xyz,7,box,85.55555555555556,180
clean_trained_xyz,7,cylinder,74.375,160
clean_trained_xyz,7,sphere,90.9090909090909,220
clean_trained_xyz,8,box,88.33333333333333,180
clean_trained_xyz,8,cylinder,61.25000000000001,160
clean_trained_xyz,8,sphere,90.9090909090909,220
clean_trained_xyz,9,box,92.22222222222223,180
clean_trained_xyz,9,cylinder,61.25000000000001,160
clean_trained_xyz,9,sphere,90.45454545454545,220
error_trained_xyz,1,box,90.0,180
error_trained_xyz,1,cylinder,76.875,160
error_trained_xyz,1,sphere,90.9090909090909,220
error_trained_xyz,2,box,92.77777777777779,180
error_trained_xyz,2,cylinder,85.625,160
error_trained_xyz,2,sphere,90.9090909090909,220
error_trained_xyz,3,box,84.44444444444444,180
error_trained_xyz,3,cylinder,83.125,160
error_trained_xyz,3,sphere,90.9090909090909,220
error_trained_xyz,4,box,81.66666666666667,180
error_trained_xyz,4,cylinder,79.375,160
error_trained_xyz,4,sphere,90.9090909090909,220
error_trained_xyz,5,box,97.22222222222221,180
error_trained_xyz,5,cylinder,81.875,160
error_trained_xyz,5,sphere,90.9090909090909,220
error_trained_xyz,6,box,83.88888888888889,180
error_trained_xyz,6,cylinder,85.625,160
error_trained_xyz,6,sphere,90.9090909090909,220
error_trained_xyz,7,box,88.88888888888889,180
error_trained_xyz,7,cylinder,75.0,160
error_trained_xyz,7,sphere,90.9090909090909,220
error_trained_xyz,8,box,82.22222222222221,180
error_trained_xyz,8,cylinder,73.125,160
error_trained_xyz,8,sphere,90.9090909090909,220
error_trained_xyz,9,box,86.11111111111111,180
error_trained_xyz,9,cylinder,75.0,160
error_trained_xyz,9,sphere,90.9090909090909,220
mixed_trained_xyz,1,box,95.55555555555556,180
mixed_trained_xyz,1,cylinder,86.875,160
mixed_trained_xyz,1,sphere,90.9090909090909,220
mixed_trained_xyz,2,box,90.0,180
mixed_trained_xyz,2,cylinder,90.625,160
mixed_trained_xyz,2,sphere,90.9090909090909,220
mixed_trained_xyz,3,box,93.33333333333333,180
mixed_trained_xyz,3,cylinder,76.875,160
mixed_trained_xyz,3,sphere,90.9090909090909,220
mixed_trained_xyz,4,box,76.11111111111111,180
mixed_trained_xyz,4,cylinder,89.375,160
mixed_trained_xyz,4,sphere,90.9090909090909,220
mixed_trained_xyz,5,box,96.11111111111111,180
mixed_trained_xyz,5,cylinder,84.375,160
mixed_trained_xyz,5,sphere,90.9090909090909,220
mixed_trained_xyz,6,box,88.88888888888889,180
mixed_trained_xyz,6,cylinder,91.25,160
mixed_trained_xyz,6,sphere,90.9090909090909,220
mixed_trained_xyz,7,box,92.22222222222223,180
mixed_trained_xyz,7,cylinder,86.25,160
mixed_trained_xyz,7,sphere,90.9090909090909,220
mixed_trained_xyz,8,box,79.44444444444444,180
mixed_trained_xyz,8,cylinder,90.625,160
mixed_trained_xyz,8,sphere,90.9090909090909,220
mixed_trained_xyz,9,box,86.66666666666667,180
mixed_trained_xyz,9,cylinder,90.0,160
mixed_trained_xyz,9,sphere,90.9090909090909,220
