method,accuracy_percent
AdamW mixed,91.25
AdamW mixed,90.53571428571429
AdamW mixed,87.67857142857143
AdamW mixed,85.71428571428571
AdamW mixed,90.71428571428571
AdamW mixed,90.35714285714286
AdamW mixed,90.0
AdamW mixed,87.14285714285714
AdamW mixed,89.28571428571429
RProp mixed,68.21428571428572
RProp mixed,68.21428571428572
RProp mixed,70.35714285714286
RProp mixed,71.25
RProp mixed,73.03571428571428
RProp mixed,71.78571428571429
RProp mixed,67.5
RProp mixed,73.57142857142858
RProp mixed,69.64285714285714
RProp mixed,73.57142857142858
