method,accuracy_percent
AdamW mixed,91.25
AdamW mixed,90.53571428571429
AdamW mixed,87.67857142857143
AdamW mixed,85.71428571428571
AdamW mixed,90.71428571428571
AdamW mixed,90.35714285714286
AdamW mixed,90.0
AdamW mixed,87.14285714285714
AdamW mixed,89.28571428571429
RProp mixed,68.75
RProp mixed,71.60714285714286
RProp mixed,69.10714285714286
RProp mixed,71.60714285714286
RProp mixed,70.35714285714286
RProp mixed,71.42857142857143
RProp mixed,72.85714285714285
RProp mixed,72.14285714285714
RProp mixed,71.96428571428571
RProp mixed,72.14285714285714
